return_rank,ticker,date,daily_return
1,AAPL,2025-04-09,0.15328847459654019
2,MSFT,2020-03-13,0.14216884794619983
3,AMZN,2022-02-04,0.13535901735711856
4,AMZN,2022-11-10,0.12177847617944278
5,AAPL,2020-03-13,0.11980796608860086
6,AMZN,2025-04-09,0.11977031526306239
7,AAPL,2020-07-31,0.10468883878176781
8,AMZN,2022-07-29,0.10361464095050726
9,GOOGL,2024-04-26,0.10224348323833569
10,MSFT,2025-04-09,0.10133686604106669
11,AAPL,2020-03-24,0.10032531398758847
12,GOOGL,2025-04-09,0.096821040905180511
13,AMZN,2025-10-31,0.095844927541292424
14,AAPL,2020-03-02,0.093100960039161088
15,GOOGL,2020-03-13,0.092411560584981664
16,GOOGL,2025-09-03,0.091365007457009886
17,MSFT,2020-03-24,0.090895872240930542
18,AAPL,2022-11-10,0.088974334086208709
19,GOOGL,2020-04-29,0.088910479366990841
20,AAPL,2020-04-06,0.0872373124581231